Director,Year,Title,Country,Length,Genre,Col
"Depardon, Raymond",2008,Modern Life,France,87,Documentary,Col
"Deray, Jacques",1972,"Outside Man, The",Italy-France-US,104,Thriller-Crime-Drama,Col
"Derek, John",1965,Once Before I Die,US,97,War,Col
"Derek, John",1984,Bolero,US,104,Drama,Col
"Deren, Maya",1943,Meshes of the Afternoon,US,15,Short-Avant-Garde-Fantasy,BW
"Deren, Maya",1944,At Land,US,15,Short,BW
"Deren, Maya",1945,"Study in Choreography for Camera, A",US,2,Short,BW
"Deren, Maya",1946,Ritual in Transfigured Time,US,15,Short,BW
"Deren, Maya",1948,Meditation on Violence,US,12,Short,BW
"Deren, Maya",1958,"Very Eye of Night, The",US,15,Short,BW
"Derrickson, Scott",2005,"Exorcism of Emily Rose, The",US,119,---,Col
"Deruddere, Dominique",1987,Love Is a Dog From Hell/Crazy Love,Belgium,90,Drama,Col
"Desai, Manmohan",1977,Amar Akbar Anthony,India,184,Action-Comedy-Drama,Col
"DeSimone, Tom",1981,Hell Night,US,101,Horror,Col
"Despentes, Virginie",2000,Baise-moi,France,76,---,Col
"Desplechin, Arnaud",1992,"Sentinelle, La",France,139,Thriller,Col
"Desplechin, Arnaud",1996,Ma vie sexuelle/How I Got Into an Argument,France,180,Drama-Comedy,Col
"Desplechin, Arnaud",2000,Esther Kahn,France-UK,142,Drama,Col
"Desplechin, Arnaud",2004,Kings & Queen,France,152,Drama-Comedy,Col
"Desplechin, Arnaud",2008,"Christmas Tale, A",France,153,Comedy-Drama,Col
"Deswarte, Benie Yann Le Masson",1973,Kashima Paradise,France,110,Documentary,BW
"Deutch, Howard",1986,Pretty in Pink,US,96,Drama-Comedy,Col
"Deville, Michel",1962,Adorable menteuse,France,105,Comedy,BW
"Deville, Michel",1971,"Raphael, or the Debauched One",France,100,Drama,Col
"Deville, Michel",1978,"Dossier 51, Le",France-West Germany,108,Crime-Drama,Col
"Devor, Robinson",2007,Zoo,US,80,Documentary-Drama,Col
"Dewever, Jean",1960,"Honneurs de la guerre, Les",France,85,Drama-War,BW
"Di Gregorio, Gianni",2008,Mid-August Lunch,Italy,76,---,Col
"Di Leo, Fernando",1973,Wipeout!,Italy,100,Crime,Col
"Diaz, Lav",2004,Evoluution of a Filipino Family,Philippines,540,Drama,BW
"DiCillo, Tom",1991,Johnny Suede,US-Switzerland-France,95,Drama-Comedy,Col
"DiCillo, Tom",1995,Living in Oblivion,US,91,Comedy,Col-BW
"DiCillo, Tom",1996,Box of Moonlight,US,111,Comedy-Drama,Col
"Dick, Kirby",1997,"Sick: The Life & Death of Bob Flanagan, Supermasochist",US,90,Documentary,Col
"Dickinson, Thorold",1939,"Arsenal Stadium Mystery, The",UK,85,Sports-Mystery,BW
"Dickinson, Thorold",1940,Gaslight ,UK,84,Thriller,BW
"Dickinson, Thorold",1949,"Queen of Spades, The",UK,95,Horror-Drama,BW
"Dickinson, Thorold",1955,Hill 24 Doesn't Answer,Israel,102,War-Adventure-Drama,BW
"Dickson, W.K.L.",1891,Newark Athlete,US,---,Documentary-Short,BW
"Dickson, W.K.L.",1893,Blacksmith Scene,US,1,Short,BW
"Dickson, W.K.L.",1894,Dickson Experimental Sound Film,US,1,Short,BW
"Didden, Marc",1983,Brussels by Night,Belgium,90,Drama,Col
"Diegues, Carlos",1966,"Grande Cidade, A",Brazil,85,Crime-Drama,BW
"Diegues, Carlos",1970,"Herdeiros, Os/The Heirs",Brazil,110,Drama,Col
"Diegues, Carlos",1978,Xica,Brazil,107,Drama,Col
"Diegues, Carlos",1980,Bye Bye Brazil,Brazil,110,Drama-Comedy,Col
"Diegues, Carlos",1984,Quilombo,Brazil-France,119,Drama,Col
"Dieterle, William",1931,"Last Flight, The",US,80,Drama,BW
"Dieterle, William",1932,Jewel Robbery,US,70,Crime-Comedy-Romance,BW
"Dieterle, William",1936,"Story of Louis Pasteur, The",US,85,Biography-Drama,BW
"Dieterle, William",1937,"Life of Emile Zola, The",US,116,Drama-Biography,BW
"Dieterle, William",1939,"Hunchback of Notre Dame, The ",US,115,Horror-Drama,BW
"Dieterle, William",1939,Juarez,US,132,Biography-Drama-Romance,BW
"Dieterle, William",1940,Dr. Ehrlich's Magic Bullet,US,103,Biography,BW
"Dieterle, William",1941,"Devil and Daniel Webster, The/All That Money Can Buy",US,112,Fantasy-Drama-Horror,BW
"Dieterle, William",1948,Portrait of Jennie,US,86,Romance-Fantasy-Mystery,BW
"Dieterle, William",1956,Magic Fire,US,95,Biography-Drama,Col
"Dieterle, William & Max Reinhardt",1935,"Midsummer Night's Dream, A",US,117,Romance-Fantasy-Comedy,BW
"Dietl, Helmut",1992,Schtonk!,Germany,111,---,Col
"Dikongue-Pipa, Jean-Pierre",1975,Muna Moto,Cameroon,100,---,BW
"Dindal, Mark",2000,"Emperor's New Groove, The",US,78,---,Col
"Disney, Walt",1928,Steamboat Willie,US,8,Animated-Family-Short,BW
"Disney, Walt",1929,"Skeleton Dance, The",US,6,Animated-Family-Short,BW
"Dixon, Ivan",1973,"Spook Who Sat By the Door, The",US,102,Action,Col
"Dixon, Jamie",1998,Shadowbuilder,US-Canada,90,Horror,Col
"Dizdar, Jasmin",1999,Beautiful People,UK,---,---,Col
"Djalil, H. Tjut",1988,Lady Terminator,Indonesia,82,Action-Horror,Col
"Dmytryk, Edward",1944,"Murder, My Sweet/Farewell My Lovely",US,95,Mystery-Drama-Crime,BW
"Dmytryk, Edward",1945,Cornered,US,102,War-Thriller,BW
"Dmytryk, Edward",1946,Till the End of Time,US,105,Drama,BW
"Dmytryk, Edward",1947,Crossfire,US,86,Drama-Crime,BW
"Dmytryk, Edward",1949,Christ in Concrete,UK,116,Drama,BW
"Dmytryk, Edward",1954,"Caine Mutiny, The",US,125,War-Drama,Col
"Dmytryk, Edward",1958,"Young Lions, The",US,167,War-Action-Drama,BW
"Dmytryk, Edward",1959,Warlock,US,121,Western,Col
"Dmytryk, Edward",1962,Walk on the Wild Side,US,114,Drama,BW
"Dmytryk, Edward",1964,"Carpetbaggers, The",US,150,Drama,Col
"Dmytryk, Edward",1965,Mirage,US,109,Thriller-Mystery,BW
"Dobkin, David",2005,Wedding Crashers,US,118,---,Col
"Docter, Pete",2001,"Monsters, Inc.",US,95,Animated-Family-Comedy,Col
"Docter, Pete",2009,Up,US,96,Animated-Adventure-Comedy,Col
"Doillon, Jacques",1992,"Jeune Werther, Le",France,94,Drama,Col
"Doillon, Jacques",1996,Ponette,France,92,Drama,Col
"Dominik, Andrew",2000,Chopper,Australia,94,Drama,Col
"Dominik, Andrew",2007,"Assassination of Jesse James by the Coward Robert Ford, The",US-Canada,160,Western-Biography-Drama,Col
"Donaldson, Roger",1981,Smash Palace,New Zealand,100,Drama,Col
"Donaldson, Roger",1984,"Bounty, The",US,130,Historical-Drama-Adventure,Col
"Donaldson, Roger",1987,No Way Out ,US,116,Thriller-Crime,Col
"Donaldson, Roger",2005,"World's Fastest Indian, The",New Zealand-Japan-Switzerland-US,127,Drama-Adventure,Col
"Donehue, Vincent J.",1958,Lonelyhearts,US,101,Drama,BW
"Donen, Stanley",1951,Royal Wedding,US,93,Musical-Romance-Comedy,Col
"Donen, Stanley",1954,Seven Brides for Seven Brothers,US,103,Romance-Musical-Dance,Col
"Donen, Stanley",1957,Funny Face,US,103,Musical-Dance,Col
"Donen, Stanley",1957,Kiss Them for Me,US,105,Drama-Comedy-Romance,Col
"Donen, Stanley",1958,Indiscreet,US,100,Romance-Comedy,Col
"Donen, Stanley",1960,"Grass Is Greener, The",US,105,Comedy,Col
"Donen, Stanley",1963,Charade,US,114,Thriller-Romance-Comedy,Col
"Donen, Stanley",1964,Father Goose,US,115,War-Comedy,Col
"Donen, Stanley",1966,Arabesque,US,105,Spy,Col
"Donen, Stanley",1967,Bedazzled,UK,107,Comedy,Col
"Donen, Stanley",1967,Two for the Road,UK,112,Drama-Comedy-Romance,Col
"Donen, Stanley/Gene Kelly",1949,On the Town,US,98,Musical-Dance,Col
"Donen, Stanley/Gene Kelly",1952,Singin' in the Rain,US,102,Musical-Dance-Comedy,Col
"Donen, Stanley/Gene Kelly",1955,It's Always Fair Weather,US,102,Musical-Dance-Comedy,Col
"Doniger, Benjamin",1956,Modesta,US,35,Short,BW
"Donner, Clive",1964,Nothing But the Best,UK,99,Comedy,Col
"Donner, Clive",1965,"What's New, Pussycat?",US,108,Comedy,Col
"Donner, Richard",1976,"Omen, The",US,111,Thriller-Horror-Mystery,Col
"Donner, Richard",1978,Superman ,US,143,Science Fiction-Action-Adventure,Col
"Donner, Richard",1980,Inside Moves,US,113,Drama,Col
"Donner, Richard",1985,"Goonies, The",US,114,Comedy-Family-Adventure,Col
"Donner, Richard",1985,Ladyhawke,US,124,Fantasy-Adventure-Romance,Col
"Donner, Richard",1987,Lethal Weapon,US,110,Crime-Action,Col
"Donner, Richard",1988,Scrooged,US,101,Fantasy-Comedy,Col
"Donner, Richard",1989,Lethal Weapon 2,US,113,Crime-Comedy-Action,Col
"Donner, Richard",1994,Maverick,US,129,Western-Comedy-Adventure,Col
"Donner, Richard",1997,Conspiracy Theory,US,135,Action-Mystery-Romance,Col
"Donnes, Etant",1996,Bleu,France,36,---,---
"Donovan, Martin",1988,Apartment Zero,UK,124,Thriller,Col
"Donskoi, Mark",1938,"Childhood of Maxim Gorky, The",USSR,99,Drama-Biography,BW
"Donskoi, Mark",1939,My Apprenticeship,USSR,100,Drama-Biography,BW
"Donskoi, Mark",1940,My Universities,USSR,100,Drama-Biography,BW
"Dorfman, Ron",1970,Groupies,US,80,Documentary,Col
"Dörrie, Doris",1985,Men...,Germany,99,Comedy,Col
"Dörrie, Doris",1986,Paradise,West Germany,106,Comedy,Col
"Dörrie, Doris",1994,Nobody Loves Me,Germany,104,Drama-Comedy,Col
"Dorsky, Nathaniel",1996,Triste,US,19,Short,Col
"Dorsky, Nathaniel",1998,Variations,US,24,Short,Col
"Dorsky, Nathaniel",2002,"Visitation, The",US,18,Short,Col
"Dos Santos, Nelson Pereira",1955,Rio 40 Graus,Brazil,100,Drama,BW
"Dos Santos, Nelson Pereira",1963,Barren Lives,Brazil,135,Drama,BW
"Dos Santos, Nelson Pereira",1971,How Tasty Was My Little Frenchman,Brazil,84,Drama,Col
"Dos Santos, Nelson Pereira",1984,Memorias do Carcere/Memories of Prison,Brazil,185,Drama,Col
"Dos Santos, Nelson Pereira",1994,"Terceira Margem do rio, A/The Third Bank of the River",Brazil,98,Fantasy-Drama,Col
"Doueiri, Ziad",1998,West Beirut,France-Lebanon-Belgium-Norway,110,---,Col
"Douglas, Bill",1972,My Childhood,UK,45,Drama-Biography,BW
"Douglas, Bill",1973,My Ain Folk,UK,55,Drama-Biography,BW
"Douglas, Bill",1978,My Way Home,UK,71,Drama-Biography,BW
"Douglas, Bill",1987,Comrades,UK,180,Drama,Col
"Douglas, Gordon",1940,Saps At Sea,US,57,Comedy,BW
"Douglas, Gordon",1952,"Iron Mistress, The",US,110,Western-Biography,Col
"Douglas, Gordon",1954,Them!,US,94,Science Fiction,BW
"Douglas, Gordon",1954,Young at Heart,US,117,Musical,Col
"Douglas, Gordon",1964,Rio Conchos,US,107,Western,Col
"Douglas, Gordon",1967,Chuka,US,105,Western,Col
"Douglas, Gordon",1967,In Like Flint,US,114,Spy-Comedy-Action,Col
"Dovzhenko, Alexander",1928,Zvenigora,USSR,90,Drama,Col
"Dovzhenko, Alexander",1929,Arsenal,USSR,78,War-Drama,BW
"Dovzhenko, Alexander",1930,Earth ,Russia,90,Drama,BW
"Dovzhenko, Alexander",1932,Ivan,USSR,102,Drama,BW
"Dovzhenko, Alexander",1935,Aerograd/Frontier,USSR,81,Science Fiction,BW
"Dovzhenko, Alexander",1939,Shchors,USSR,92,Drama,BW
"Dovzhenko, Alexander",1948,Michurin,USSR,103,Drama,Col
"Dowidat, Esther & Raymond Dowidat",1939,Cologne: From the Diary of Ray and Esther,US,14,Short-Documentary,BW
"Downey Sr., Robert",1969,Putney Swope,US,85,Comedy,Col-BW
"Downey Sr., Robert",1970,Pound,US,92,Fantasy,Col
"Dragojevic, Srdjan",1996,"Pretty Village, Pretty Flame/Lepa sela lepo gore",Serbia,128,---,Col
"Dragoti, Stan",1972,Dirty Little Billy,US,100,Western,Col
"Dragoti, Stan",1979,Love at First Bite,US,96,Comedy-Horror-Romance,Col
"Dreifuss, Arthur",1962,"Quare Fellow, The",Ireland,85,Prison,BW
"Dréville, Jean",1940,"President Haudecoeur, Le",France,110,Comedy,BW
"Dréville, Jean",1947,Copie conforme,France,105,Comedy-Crime,BW
"Drew, Robert",1960,Primary,US,60,Documentary,BW
"Drew, Robert",1963,Crisis: Behind a Presidential Commitment,US,52,Documentary,BW
"Dreyer, Carl",1920,"Parson's Widow, The/Prastankan",Sweden-Denmark,80,Drama-Comedy-Horror,BW
"Dreyer, Carl",1924,Michael ,Germany,86,Drama-Romance,BW
"Dreyer, Carl",1925,Master of the House,Denmark,92,Drama,BW
"Dreyer, Carl",1928,"Passion of Joan of Arc, The",France,77,Historical-Drama,BW
"Dreyer, Carl",1932,Vampyr,France-Germany,73,Horror,BW
"Dreyer, Carl",1943,Day of Wrath,Denmark,110,Drama,BW
"Dreyer, Carl",1945,Two People,Sweden,78,Drama,BW
"Dreyer, Carl",1955,Ordet,Denmark,125,Religious-Drama,BW
"Dreyer, Carl",1964,Gertrud,Denmark,116,Drama,BW
"Driver, Sara",1981,You Are Not I,US,50,---,BW
"Driver, Sara",1986,Sleepwalk,US-West Germany,78,---,Col
"Drouin, Jacques",1976,"Paysagiste, La",Canada,8,Animated-Short-Family,BW
"du Welz, Fabrice",2004,Calvaire/The Ordeal,France-Belgium-Luxembourg,92,---,Col
"Duarte, Anselmo",1962,Keeper of Promises/O Pagador de Promessas,Brazil-Portugal,98,Drama,BW
"Duarte, Anselmo",1964,Vereda de Salvacao,Brazil,100,Drama,BW
"Duchamp, Marcel",1926,Anémic cinéma,France,7,Short,BW
"Dudow, Slatan",1931,Kuhle Wampe,Germany,73,Drama,BW
"Duffell, Peter",1973,England Made Me,UK,100,Drama,Col
"Dugan, Dennis",1996,Happy Gilmore,US,92,Comedy,Col
"Duguay, Christian",1995,Screamers,Canada-US-Japan,107,Science Fiction,Col
"Duigan, John",1987,"Year My Voice Broke, The",Australia,103,Drama,Col
"Duigan, John",1989,Flirting,Australia,100,Romance-Drama,Col
"Duigan, John",1994,Sirens,Australia-UK,94,Drama-Comedy,Col
"Duigan, John",1996,"Leading Man, The",UK,99,Drama,Col
"Duigan, John",1997,Lawn Dogs,UK,100,Drama,Col
"Duke, Bill",1992,Deep Cover,US,112,Drama-Action,Col
"Duke, Daryl",1973,Payday,US,103,Drama,Col
"Duke, Daryl",1978,"Silent Partner, The",Canada,103,Crime-Comedy,Col
"Dulac, Germaine",1922,"Smiling Madame Beudet, The",France,54,---,BW
"Dulac, Germaine",1928,"Coquille et le clergyman, La/The Seashell and the Clergyman",France,41,Short,BW
"DuLuart, Yolande",1972,Angela Davis: Portrait of a Revolutionary,US,80,Documentary,BW
"Dumont, Bruno",1996,"Vie de Jesus, La/The Life of Jesus",France,96,Drama,Col
"Dumont, Bruno",1999,"Humanite, L'",France,147,Drama,Col
"Dumont, Bruno",2003,Twentynine Palms,France-Germany-US,119,Horror-Drama,Col
"Dunbar, Geoff",1978,Ubu,UK,18,Short-Animated,Col
"Dunham, Duwayne",1993,Homeward Bound: The Incredible Journey,US,84,Family-Adventure,Col
"Dunning, George",1968,Yellow Submarine,UK,85,Musical-Animated,Col
"Dupont, E.A.",1923,This Ancient Law,Germany,128,Drama,BW
"Dupont, E.A.",1925,Variety,Germany,104,Drama,BW
"Dupont, E.A.",1929,Piccadilly,UK,110,Drama-Crime,BW
"Duras, Marguerite",1972,Nathalie Granger,France,83,Drama,BW
"Duras, Marguerite",1974,India Song,France,120,Drama,Col
"Duras, Marguerite",1977,"Camion, Le/The Truck",France,80,Drama,Col
"Durston, David E.",1970,I Drink Your Blood,US,88,Horror,Col
"Dutt, Guru",1957,Pyaasa,India,146,Drama,BW
"Dutt, Guru",1959,Kaagaz Ke Phool,India,148,Romance-Drama,BW
"Dutt, Guru & M. Sadiq",1960,Chaudhvin Ka Chand,India,169,Romance-Musical,Col-BW
"Duvall, Robert",1983,"Angelo, My Love",US,115,Drama,Col
"Duvall, Robert",1997,"Apostle, The",US,133,Religious-Drama,Col
"Duvivier, Julien",1925,Poil de Carotte ,France,---,Drama,BW
"Duvivier, Julien",1930,Au bonheur des dames,France,85,Drama-Romance,BW
"Duvivier, Julien",1930,David Golder,France,86,Drama,BW
"Duvivier, Julien",1932,Poil de Carotte ,France,90,Drama,BW
"Duvivier, Julien",1936,"Belle equipe, La",France,101,Drama,BW
"Duvivier, Julien",1936,Pépé le Moko,France,93,Romance-Drama-Crime,BW
"Duvivier, Julien",1937,"Carnet de Bal, Un",France,144,Drama,BW
"Duvivier, Julien",1938,"Great Waltz, The",US,102,Musical-Biography-Drama,BW
"Duvivier, Julien",1939,"Fin du jour, La",France,99,Drama,BW
"Duvivier, Julien",1942,Tales of Manhattan,US,118,Drama-Comedy,BW
"Duvivier, Julien",1947,Panic,France,91,Thriller-Crime-Drama,BW
"Duvivier, Julien",1951,Don Camillo/The Little World of Don Camillo,France-Italy,96,Comedy,BW
"Duvivier, Julien",1952,Holiday for Henrietta,France,118,Comedy,BW
"Duvivier, Julien",1956,Deadlier Than the Male,France,104,Drama-Thriller,BW
"Dwan, Allan",1922,Robin Hood ,US,110,Romance-Adventure-Action,BW
"Dwan, Allan",1925,Stage Struck,US,87,Comedy,BW
"Dwan, Allan",1929,"Iron Mask, The",US,87,Adventure-Drama-Historical,BW
"Dwan, Allan",1939,"Three Musketeers, The ",US,73,Comedy-Adventure-Action,BW
"Dwan, Allan",1945,Brewster's Millions ,US,79,Comedy,BW
"Dwan, Allan",1949,Sands of Iwo Jima,US,110,War-Action-Drama,BW
"Dwan, Allan",1950,Surrender,US,90,Western-Drama-Romance,BW
"Dwan, Allan",1954,Cattle Queen of Montana,US,88,Western,Col
"Dwan, Allan",1954,Silver Lode,US,81,Western,Col
"Dwan, Allan",1955,Pearl of the South Pacific,US,86,Adventure-Action,Col
"Dwan, Allan",1955,Tennessee's Partner,US,87,Western,Col
"Dwan, Allan",1956,Slightly Scarlet,US,99,Drama-Crime,Col
"Dwan, Allan",1957,"River's Edge, The",US,87,Crime-Adventure,Col
"Dwoskin, Stephen",1964,Chinese Checkers,UK,13,Short,BW
"Dwoskin, Stephen",1981,Outside In,UK-West Germany,115,---,Col
"Dylan, Bob",1978,Renaldo and Clara,US,292,Drama,Col
"Eames, Charles & Ray Eames",1978,Powers of Ten,US,9,Documentary,Col
"Eastwood, Clint",1971,Play Misty for Me,US,102,Thriller,Col
"Eastwood, Clint",1973,Breezy,US,108,Romance-Drama,Col
"Eastwood, Clint",1973,High Plains Drifter,US,105,Western,Col
"Eastwood, Clint",1975,"Eiger Sanction, The",US,128,Thriller-Action-Adventure,Col
"Eastwood, Clint",1976,"Outlaw Josey Wales, The",US,135,Western-Drama,Col
"Eastwood, Clint",1977,"Gauntlet, The",US,109,Crime,Col
"Eastwood, Clint",1980,Bronco Billy,US,119,Drama-Comedy-Action,Col
"Eastwood, Clint",1982,Honkytonk Man,US,122,Drama,Col
"Eastwood, Clint",1983,Sudden Impact,US,117,Crime-Action-Drama,Col
"Eastwood, Clint",1985,Pale Rider,US,113,Western,Col
"Eastwood, Clint",1988,Bird,US,160,Biography,Col
"Eastwood, Clint",1990,"White Hunter, Black Heart",US,112,Drama-Adventure,Col
"Eastwood, Clint",1992,Unforgiven,US,127,Western,Col
"Eastwood, Clint",1993,"Perfect World, A",US,137,Drama-Crime,Col
"Eastwood, Clint",1995,"Bridges of Madison County, The",US,135,Romance-Drama,Col
"Eastwood, Clint",1999,True Crime ,US,127,Thriller,Col
"Eastwood, Clint",2000,Space Cowboys,US-Australia,130,Thriller-Science Fiction-Action,Col-BW
"Eastwood, Clint",2003,Mystic River,US-Australia,137,Mystery-Drama-Crime,Col
"Eastwood, Clint",2004,Million Dollar Baby,US,137,Drama,Col
"Eastwood, Clint",2006,Flags of Our Fathers,US,132,War-Drama-Action,Col
"Eastwood, Clint",2006,Letters from Iwo Jima,US,140,Drama-Historical-War,Col
"Eastwood, Clint",2008,Gran Torino,Germany-US-Australia,116,Crime-Drama-Thriller,Col
"Eastwood, Clint",2009,Invictus,US-South Africa,133,Biography-Drama-Historical,Col
"Eberhardt, Thom",1984,Night of the Comet,US,94,Science Fiction,Col
"Echevarria, Nicolas",1991,Cabeza de Vaca,Mexico-Spain-UK-US,112,Adventure-Action,Col
"Edel, Uli",1981,Christiane F.,Germany,124,Drama,Col
"Edel, Uli",1989,Last Exit to Brooklyn,West Germany,102,Drama-Crime,Col
"Edel, Uli",2008,"Baader Meinhof Complex, The",Germany-France-Czech Republic,---,---,Col
"Edmonds, Don",1975,"Ilsa, She Wolf of the SS",US-West Germany,96,Action-Horror-War,Col
"Edwards, Blake",1959,Operation Petticoat,US,124,War-Comedy,Col
"Edwards, Blake",1961,Breakfast at Tiffany's,US,115,Romance-Drama-Comedy,Col
"Edwards, Blake",1962,Days of Wine and Roses,US,117,Drama,BW
"Edwards, Blake",1962,Experiment in Terror,US,123,Crime,BW
"Edwards, Blake",1964,"Pink Panther, The",US,113,Comedy,Col
"Edwards, Blake",1964,"Shot in the Dark, A",US,101,Mystery-Comedy,Col
"Edwards, Blake",1965,"Great Race, The",US,150,Comedy-Action-Adventure,Col
"Edwards, Blake",1967,Gunn,US,94,Mystery,Col
"Edwards, Blake",1968,"Party, The",US,99,Comedy,Col
"Edwards, Blake",1970,Darling Lili,US,136,Spy-Musical,Col
"Edwards, Blake",1971,Wild Rovers,US,109,Western,Col
"Edwards, Blake",1976,"Pink Panther Strikes Again, The",UK,103,Comedy-Crime,Col
"Edwards, Blake",1979,10,US,122,Comedy,Col
"Edwards, Blake",1982,Victor/Victoria,UK,133,Romance-Musical-Comedy,Col
"Edwards, Blake",1986,That's Life!,US,102,Comedy,Col
"Edwards, Blake",1987,Blind Date,US,93,Romance-Comedy,Col
"Edwards, Blake",1991,Switch,US,104,Comedy-Crime-Fantasy,Col
"Edwards, Daphna",1998,Footsteps/Expose,Sweden-US,92,---,Col
"Edwards, Gareth",2010,Monsters,UK,94,Drama-Science Fiction-Thriller,Col
"Edzard, Christine",1988,Little Dorrit,UK,360,Drama-Comedy,Col
"Eggeling, Viking",1924,Symphonie diagonale,Germany,5,Animated-Short,BW
"Eggleston, Colin",1978,Long Weekend,Australia,92,Thriller-Horror,Col
"Egoyan, Atom",1984,Next of Kin,Canada,105,Drama-Comedy,Col
"Egoyan, Atom",1987,Family Viewing,Canada,86,Drama,Col
"Egoyan, Atom",1991,"Adjuster, The",Canada,102,Drama,Col
"Egoyan, Atom",1993,Calendar,Canada-Armenia-Germany,75,Drama,Col
"Egoyan, Atom",1994,Exotica,Canada,104,Drama,Col
"Egoyan, Atom",1997,"Sweet Hereafter, The",Canada,112,Drama,Col
"Egoyan, Atom",1999,Felicia's Journey,UK-Canada,115,Thriller,Col
"Eguiluz, Enrique Lopez",1968,"Mark of the Wolfman, The",Spain-West Germany,88,Horror,Col
"Eimbcke, Fernando",2004,Duck Season,Mexico,86,Comedy,BW
"Eisenstein, Sergei",1924,Strike,USSR,73,Historical-Drama-Political,BW
"Eisenstein, Sergei",1925,Battleship Potemkin,Russia,65,War-Historical,BW
"Eisenstein, Sergei",1927,October,USSR,103,Historical-Drama,BW
"Eisenstein, Sergei",1929,"General Line, The",USSR,80,Drama,BW
"Eisenstein, Sergei",1932,Que viva Mexico!,Mexico-US,85,Historical,BW
"Eisenstein, Sergei",1937,Bezhin Meadow/Bezhin lug,USSR,31,Short-Drama,BW
"Eisenstein, Sergei",1938,Alexander Nevsky,USSR,107,War-Historical-Biography,BW
"Eisenstein, Sergei",1944,"Ivan the Terrible, Part One",Russia,96,Historical-Drama-Biography,BW
"Eisenstein, Sergei",1946,"Ivan the Terrible, Part Two",USSR,88,Historical-Drama-Biography,BW
"Eisner, Breck",2010,"Crazies, The ",US-United Arab Emirates,101,---,Col
"Ekk, Nikolai",1930,Road to Life,USSR,101,Political-Drama,BW
"Ekman, Hasse",1950,Flicka och hyacinter,Sweden,89,Drama-Mystery,BW
"Elek, Judit",1980,Vizsgálat Martinovics Ignác szászvári apát és társainak ügyében ,Hungary,131,Historical,Col
"Elfman, Richard",1980,Forbidden Zone,US,76,Science Fiction-Musical,BW
"Elfont, Harry",2001,Josie and the Pussycats,US,98,---,Col
"Elfont, Harry & Deborah Kaplan",1998,Can't Hardly Wait,US,100,Comedy-Drama-Romance,Col
"Elfstrom, Robert",1973,"Gospel Road, The",US,83,Religious,Col
"Elissalde, Serge",2006,U,France,75,Animated-Family,Col
"Elliot, Adam",2003,Harvie Krumpet,Australia,23,Animated-Comedy-Short,Col
"Elliott, Stephan",1994,"Adventures of Priscilla, Queen of the Desert, The",Australia,102,Drama-Comedy,Col
"Ellis, Simon",2007,Soft,UK,14,---,Col
"Else, Jon",1980,"Day After Trinity, The",US,88,Documentary,Col
"Elstela, Ossi",1943,Katariina ja Munkkiniemen kreivi,Finland,110,Romance,BW
"Elton, Ben",1999,Maybe Baby,UK-France,104,---,Col
"Elvey, Maurice",1918,"Life Story of David Lloyd George, The",UK,150,Drama-Biography,BW
"Elvey, Maurice",1927,Hindle Wakes,UK,120,Romance,BW
"Emerson, John",1916,"Mystery of the Leaping Fish, The",US,20,Comedy-Short,BW
"Emerson, John",1917,Wild and Woolly,US,47,Comedy-Western-Romance,BW
"Emigholz, Heinz",1982,Normalsatz,West Germany,105,---,Col-BW
"Emmer, Luciano",1948,Isolle nella laguana,Italy,---,Documentary,---
"Emmer, Luciano",1950,Domenica d'agosto,Italy,88,Comedy,BW
"Emmerich, Roland",1994,Stargate,US,119,Science Fiction-Fantasy-Action,Col
"Emmerich, Roland",1996,Independence Day,US,145,Thriller-Science Fiction,Col
"Emshwiller, Ed",1962,Thanatopsis,US,5,Short,BW
"Emshwiller, Ed",1966,Relativity,US,38,Short,Col
"Encina, Paz",2006,Paraguayan Hammock,Argentina-Paraguay-Netherlands-Austria-France-Germany,78,Drama,Col
"Endelson, Robert A.",1977,Fight for Your Life,US,82,Crime-Drama-Thriller,Col
"Enders, Robert",1978,Stevie,UK,102,Biography,Col
"Endfield, Cy",1948,"Argyle Secrets, The",US,64,Drama-Mystery-Romance,BW
"Endfield, Cy",1951,Try and Get Me!/The Sound of Fury,US,85,Crime,BW
"Endfield, Cy",1958,Hell Drivers,UK,91,Drama,BW
"Endfield, Cy",1964,Zulu,UK,138,War-Historical-Action,Col
"Engel, Morris/Ray Ashley/Ruth Orkin",1953,Little Fugitive,US,80,Drama,BW
"English, John",1949,Riders in the Sky,US,69,Western,BW
"English, John & William Witney",1938,"Lone Ranger, The ",US,264,Western,BW
"Enrico, Robert",1961,Incident at Owl Creek/An Occurence at Owl Creek Bridge,France,28,Short-Drama,BW
"Enrico, Robert",1967,"Last Adventure, The",France,102,Crime-Adventure,Col
"Enright, Ray",1934,Dames,US,90,Musical-Dance-Comedy,BW
"Enyedi, Ildiko",1989,My 20th Century,Hungary,92,Drama-Comedy,Col
"Ephron, Nora",1993,Sleepless in Seattle,US,104,Romance-Comedy,Col
"Ephron, Nora",1994,Mixed Nuts,US,97,Comedy-Drama,Col
"Ephron, Nora",1998,You've Got Mail,US,119,Romance-Comedy,Col
"Ephron, Nora",2009,Julie & Julia,US,123,Biography-Comedy-Drama,Col
"Epstein, Jean",1923,"Auberge rouge, L'",France,80,Drama,BW
"Epstein, Jean",1923,Coeur fidèle,France,87,Drama,BW
"Epstein, Jean",1927,"Glace a trois faces, La",France,45,Drama,BW
