Director,Year,Title,Country,Length,Genre,Col
"Aldrich, Robert",1981,All the Marbles,US,113,Sports-Comedy-Action,Col
"Alea, Tomás Gutiérrez",1968,Memories of Underdevelopment,Cuba,97,Political-Romance-Drama,BW
"Alea, Tomás Gutiérrez",1979,"Survivors, The",Cuba,130,Drama,Col-BW
"Alea, Tomás Gutiérrez",1993,Strawberry and Chocolate,Cuba,110,Romance-Comedy-Drama,Col
"Aleksandrov, Grigori",1934,Jolly Fellows,USSR,96,Comedy-Musical,BW
"Aleksandrov, Grigori",1938,Volga-Volga,USSR,104,Comedy-Musical,BW
"Aleksandrov, Grigori",1947,Vesna,USSR,104,Comedy-Musical-Romance,BW
"Alessandrini, Goffredo",1938,Luciano Serra pilota,Italy,102,War,BW
"Alexandrowicz, Ra'anan",2001,"Inner Tour, The",Israel-Palestine,85,Documentary,Col
"Alexeieff, Alexandre & Claire Parker",1934,Night on Bald Mountain,France,8,Animated-Short,BW
"Alfredson, Tomas",2008,Let the Right One In,Sweden-Norway,114,Drama-Horror-Romance,Col
"Alfredson, Tomas",2011,Tinker Tailor Soldier Spy,France-UK-Germany,127,---,Col
"Algar, James",1953,"Living Desert, The",US,73,Documentary,Col
"Algar, James",1958,White Wilderness,US,73,Documentary,Col
"Algar, James",1975,"Best of Walt Disney's True-Life Adventures, The",US,89,Documentary-Family,Col
"Algar, James/Gaetan Brizzi/Paul Brizzi/Hendel Butoy/Francis Glebas/Eric Goldberg/Don Hahn/Pixote Hunt",1999,Fantasia 2000,US,74,---,Col
"Algrant, Dan",1994,Naked in New York,US,91,Drama-Comedy,Col
"Ali, Muzaffar",1981,Umrao Jaan,India-Pakistan,145,Drama-Musical-Family,Col
"Alk, Howard",1971,"Murder of Fred Hampton, The",US,88,Documentary,BW
"Allegret, Marc",1932,Fanny,France,120,Drama-Comedy,BW
"Allegret, Marc",1934,Zouzou,France,92,Musical-Crime-Romance,BW
"Allegret, Marc",1945,Felice Nanteuil,France,99,---,BW
"Allegret, Yves",1949,Riptide/Such a Pretty Little Beach,France-Netherlands,91,Drama,BW
"Allen, Lewis",1944,"Uninvited, The",US,98,Horror-Fantasy-Mystery,BW
"Allen, Lewis",1948,So Evil My Love,US,109,Crime,BW
"Allen, Lewis",1954,Suddenly,US,77,Thriller-Crime-Drama,BW
"Allen, Woody",1969,Take the Money and Run,US,85,Prison-Crime-Comedy,Col
"Allen, Woody",1971,Bananas,US,82,Comedy,Col
"Allen, Woody",1972,Everything You Always Wanted to Know About Sex (But Were Afraid to Ask),US,87,Comedy,Col
"Allen, Woody",1973,Sleeper,US,88,Science Fiction-Comedy,Col
"Allen, Woody",1975,Love and Death,US,82,War-Comedy,Col
"Allen, Woody",1977,Annie Hall,US,94,Romance-Comedy,Col
"Allen, Woody",1978,Interiors,US,93,Drama,Col
"Allen, Woody",1979,Manhattan,US,96,Romance-Comedy,BW
"Allen, Woody",1980,Stardust Memories,US,91,Drama-Comedy,BW
"Allen, Woody",1983,Zelig,US,79,Comedy,Col-BW
"Allen, Woody",1984,Broadway Danny Rose,US,86,Comedy,BW
"Allen, Woody",1985,"Purple Rose of Cairo, The",US,82,Fantasy-Comedy-Romance,Col
"Allen, Woody",1986,Hannah and Her Sisters,US,106,Drama-Comedy-Romance,Col
"Allen, Woody",1987,Radio Days,US,85,Comedy,Col
"Allen, Woody",1987,September,US,82,Drama,Col
"Allen, Woody",1988,Another Woman,US,84,Drama,Col
"Allen, Woody",1989,Crimes and Misdemeanors,US,104,Drama-Comedy,Col
"Allen, Woody",1992,Husbands and Wives,US,107,Drama,Col
"Allen, Woody",1993,Manhattan Murder Mystery,US,108,Crime-Comedy,Col
"Allen, Woody",1994,Bullets Over Broadway,US,99,Comedy,Col
"Allen, Woody",1996,Everyone Says I Love You,US,101,Musical-Comedy,Col
"Allen, Woody",1997,Deconstructing Harry,US,94,Comedy,Col
"Allen, Woody",1998,Celebrity,US,113,Comedy,BW
"Allen, Woody",1999,Sweet and Lowdown,US,95,Drama-Comedy,Col
"Allen, Woody",2003,Anything Else,US,108,Comedy-Romance,Col
"Allen, Woody",2005,Match Point,UK-US-Luxembourg,124,Crime-Drama-Thriller,Col
"Allen, Woody",2007,Cassandra's Dream,UK-France,108,Crime-Drama-Romance,Col
"Allio, Rene",1972,"Camisards, Les",France,100,Drama,Col
"Almendros, Nestor & Orlando Jimenez Leal",1984,Improper Conduct,France,112,Documentary,Col
"Almereyda, Michael",1992,Another Girl Another Planet,US,62,---,BW
"Almereyda, Michael",1995,Nadja,US,92,Horror,BW
"Almereyda, Michael",2000,Hamlet ,US,111,Drama-Crime,Col
"Almodóvar, Pedro",1980,"Pepi, Luci, Bom",Spain,80,Drama-Comedy,Col
"Almodóvar, Pedro",1985,What Have I Done to Deserve This?,Spain,100,Comedy,Col
"Almodóvar, Pedro",1986,Matador,Spain,102,Drama-Comedy,Col
"Almodóvar, Pedro",1987,Law of Desire,Spain,100,Romance-Drama-Comedy,Col
"Almodóvar, Pedro",1988,Women on the Verge of a Nervous Breakdown,Spain,88,Drama-Comedy,Col
"Almodóvar, Pedro",1989,Tie Me Up! Tie Me Down!,Spain,101,Romance-Comedy,Col
"Almodóvar, Pedro",1993,Kika,Spain,115,Comedy,Col
"Almodóvar, Pedro",1995,"Flower of My Secret, The",Spain-France,100,Drama-Comedy,Col
"Almodóvar, Pedro",1997,Live Flesh,Spain-France,100,Drama,Col
"Almodóvar, Pedro",1999,All About My Mother,Spain-France,101,Drama-Comedy,Col
"Almodóvar, Pedro",2002,Talk to Her,Spain,112,Romance-Drama,Col
"Almodóvar, Pedro",2004,Bad Education,Spain,105,Thriller-Drama,Col
"Almodóvar, Pedro",2006,Volver,Spain,121,Comedy-Drama,Col
"Alnoy, Siegrid",2003,She's One of Us/Elle est des notres,France,100,Drama,Col
"Alonso, Lisandro",2001,"Libertad, La",Argentina,73,Drama,Col
"Alonso, Lisandro",2004,"Muertos, Los",Argentina-France-Netherlands-Switzerland,78,Drama,Col
"Alonso, Lisandro",2006,Fantasma,Argentina-France-Netherlands,63,Drama,Col
"Alonso, Lisandro",2008,Liverpool,Argentina-France-Netherlands-Germany-Spain,84,Drama,Col
"Altman, Robert",1970,Brewster McCloud,US,101,Comedy-Fantasy,Col
"Altman, Robert",1970,M*A*S*H,US,116,War-Comedy,Col
"Altman, Robert",1971,McCabe & Mrs. Miller,US,121,Western-Drama,Col
"Altman, Robert",1972,Images,UK-US,101,Drama-Fantasy-Horror,Col
"Altman, Robert",1973,"Long Goodbye, The",US,112,Drama-Crime,Col
"Altman, Robert",1974,California Split,US,108,Comedy,Col
"Altman, Robert",1974,Thieves Like Us,US,123,Crime,Col
"Altman, Robert",1975,Nashville,US,159,Drama,Col
"Altman, Robert",1977,3 Women,US,125,Drama,Col
"Altman, Robert",1978,"Wedding, A",US,125,Drama-Comedy,Col
"Altman, Robert",1979,"Perfect Couple, A",US,110,Romance-Comedy,Col
"Altman, Robert",1979,Quintet,US,110,Science Fiction,Col
"Altman, Robert",1982,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",US,110,Drama-Comedy,Col
"Altman, Robert",1983,Streamers,US,118,War-Drama,Col
"Altman, Robert",1984,Secret Honor,US,90,Political-Biography-Drama,Col
"Altman, Robert",1985,O.C. and Stiggs,US,109,Comedy,Col
"Altman, Robert",1987,Beyond Therapy,US,93,Comedy,Col
"Altman, Robert",1988,Tanner '88,US,120,Comedy,Col
"Altman, Robert",1990,Vincent & Theo,France-UK,138,Biography-Drama,Col
"Altman, Robert",1992,"Player, The",US,123,Comedy,Col
"Altman, Robert",1993,Short Cuts,US,189,Drama,Col
"Altman, Robert",1995,Kansas City,US-France,110,Drama,Col
"Altman, Robert",1996,Jazz '34: Remembrances of Kansas City Swing,US,72,Musical,Col
"Altman, Robert",2001,Gosford Park,UK-US,137,Comedy-Mystery-Drama,Col
"Altman, Robert",2003,"Company, The",Germany-US-UK,111,Musical-Drama,Col
"Altman, Robert",2006,"Prairie Home Companion, A",US,106,Comedy-Drama-Musical,Col
"Alvarez, Mercedes",2004,"Sky Turns, The",Spain,115,Documentary,Col
"Álvarez, Santiago",1965,Now,Cuba,5,Documentary-Short,BW
"Álvarez, Santiago",1967,"Hanoi, Tuesday 13th",Cuba,38,Short-Documentary,Col-BW
"Álvarez, Santiago",1968,LBJ/LBJ and Others,Cuba,18,Documentary-Short,BW
"Álvarez, Santiago",1969,79 Springtimes of Ho Chi Minh/79 primaveras,Cuba,25,Short-Documentary,BW
"Álvarez, Santiago",1969,Take-Off at 18:00 Hours,Cuba,41,Documentary-Short,BW
"Álvarez, Santiago",1977,Mi hermano Fidel,Cuba,17,Short,Col
"Alves, Joe",1983,Jaws 3-D,US,97,Horror,Col
"Alvi, Abrar",1962,Sahib Bibi Aur Ghulam,India,152,Drama,BW
"Amaral, Suzana",1985,Hour of the Star,Brazil,95,Drama,Col
